v2x_delay,e2e_delay,distance
54,1381,19.68426046
52,1325,19.68426046
69,746,19.68426046
73,980,13.96818946
51,712,13.96818946
62,1082,13.96818946
51,793,13.96818946
49,208,13.96818946
70,1137,13.96818946
58,1227,13.96818946
64,1332,13.96290789
55,1266,9.719667892
49,1045,9.719667892
45,197,9.719667892
46,459,9.719667892
52,263,9.719667892
57,1416,10.19265353
42,506,10.1889647
57,339,10.1889647
61,1373,10.1889647
52,588,10.19265353
56,418,10.19265353
57,852,10.19265353
47,437,10.19265353
45,317,10.19265353
50,1269,10.19265353
48,765,10.19265353
87,274,10.19265353
57,499,10.19265353
56,783,10.19265353
68,560,10.19265353
47,1260,10.19265353
70,147,15.86570987
66,672,15.86570987
52,820,15.86570987
71,450,15.86570987
66,1282,15.86570987
46,592,15.86570987
55,609,23.77343523
50,1477,23.77343523
53,353,23.77683325
65,1461,23.77683325
48,1143,23.77683325
49,90,23.77683325
65,1149,23.77683325
71,1170,23.77683325
60,1006,23.77683325
70,447,23.77683325
45,1288,23.77683325
52,979,23.77683325
110,988,23.77683325
71,330,23.77683325
70,1506,32.59711074
57,730,32.59711074
56,826,32.59711074
51,294,32.59711074
50,347,32.59711074
72,295,32.59711074
59,406,32.59711074
69,1319,32.60427254
48,1473,42.16259383
52,514,42.16259383
67,1438,42.16259383
40,923,42.16259383
47,853,63.65729403
56,1282,63.65729403
46,657,63.65729403
48,1399,63.65729403
52,1135,63.66459831
47,1024,63.66459831
49,985,63.66459831
64,1523,63.66459831
45,1538,63.66459831
55,1425,63.66459831
45,592,63.66459831
55,512,63.66459831
52,742,63.66459831
57,1390,63.66459831
53,943,63.6719026
47,1391,63.6719026
57,674,63.6719026
47,540,63.6719026
40,1012,63.6719026
71,931,63.6719026
53,568,63.6719026
54,1445,63.6719026
55,1337,63.6719026
66,1217,63.6719026
70,1316,75.38481963
68,134,75.38481963
47,987,75.38481963
64,1538,75.38481963
59,580,75.38481963
54,1382,75.38481963
50,591,75.38481963
56,1372,75.38481963
76,928,75.38481963
50,1441,75.39213606
56,877,75.39213606
60,701,75.39213606
69,99,87.50777607
68,178,87.50777607
56,362,87.50777607
62,1194,87.50777607
50,314,87.50777607
56,1543,87.50777607
53,184,87.50777607
51,991,87.50777607
59,220,100.0842418
76,1363,100.0842418
50,1464,100.0842418
54,757,100.0842418
71,889,100.0842418
50,689,100.0842418
56,1413,100.0842418
58,1205,112.9811013
47,811,112.9811013
46,225,112.9811013
66,640,112.9811013
57,1158,112.9811013
59,1415,112.9811013
82,98,112.9811013
